name,dataset,model,k,percent,n_check,T_stop,ari
n_check,optdigits,2,25,0.1,6,3,0.8701738956180731
n_check,optdigits,2,25,0.1,7,3,0.8665123416496431
T_stop,optdigits,2,25,0.1,3,3,0.872263921086555
T_stop,optdigits,2,25,0.1,3,5,0.8729479606959862
T_stop,optdigits,2,25,0.1,3,7,0.8734244999176431
T_stop,optdigits,2,25,0.1,3,9,0.8736280169211951
T_stop,optdigits,2,25,0.1,3,11,0.874072874280023
T_stop,optdigits,2,25,0.1,3,13,0.8730517056593324
k,HAR,2,5,0.1,3,3,0.5250804371477352
k,HAR,2,15,0.1,3,3,0.5236711703720228
k,HAR,2,25,0.1,3,3,0.5309445854361707
k,HAR,2,35,0.1,3,3,0.4890290629529629
k,HAR,2,45,0.1,3,3,0.49553347338620973
percent,HAR,2,25,0.05,3,3,0.4471547772981596
percent,HAR,2,25,0.075,3,3,0.5467569679653553
percent,HAR,2,25,0.1,3,3,0.5309445854361707
percent,HAR,2,25,0.125,3,3,0.5375092534179324
percent,HAR,2,25,0.15,3,3,0.5169387657157395
percent,HAR,2,25,0.175,3,3,0.5513242418042656
percent,HAR,2,25,0.2,3,3,0.5344236423512725
percent,HAR,2,25,0.225,3,3,0.5031443670005707
percent,HAR,2,25,0.25,3,3,0.4829306764449331
n_check,HAR,2,25,0.1,2,3,0.5229664069748825
n_check,HAR,2,25,0.1,3,3,0.5309445854361707
n_check,HAR,2,25,0.1,4,3,0.5451099539472221
n_check,HAR,2,25,0.1,5,3,0.5443622556807419
n_check,HAR,2,25,0.1,6,3,0.5820901197259699
n_check,HAR,2,25,0.1,7,3,0.5666962617346721
T_stop,HAR,2,25,0.1,3,3,0.5309445854361707
T_stop,HAR,2,25,0.1,3,5,0.5403608027929473
T_stop,HAR,2,25,0.1,3,7,0.5110741451951815
T_stop,HAR,2,25,0.1,3,9,0.5073133762027323
T_stop,HAR,2,25,0.1,3,11,0.5073904475569877
T_stop,HAR,2,25,0.1,3,13,0.5342075851115667
k,USPS,2,5,0.1,3,3,0.7301570073233798
k,USPS,2,15,0.1,3,3,0.6569946693041968
k,USPS,2,25,0.1,3,3,0.6537191544341877
k,USPS,2,35,0.1,3,3,0.6577073672895462
k,USPS,2,45,0.1,3,3,0.6879003677884616
percent,USPS,2,25,0.05,3,3,0.6930584083046754
percent,USPS,2,25,0.075,3,3,0.661547667431337
percent,USPS,2,25,0.1,3,3,0.6537191544341877
percent,USPS,2,25,0.125,3,3,0.7071781168104845
percent,USPS,2,25,0.15,3,3,0.7115865237660586
percent,USPS,2,25,0.175,3,3,0.7186958432317088
percent,USPS,2,25,0.2,3,3,0.7175987148908183
percent,USPS,2,25,0.225,3,3,0.7558310834349926
percent,USPS,2,25,0.25,3,3,0.756951985239491
n_check,USPS,2,25,0.1,2,3,0.6552410242066498
n_check,USPS,2,25,0.1,3,3,0.6537191544341877
n_check,USPS,2,25,0.1,4,3,0.6542415672987216
n_check,USPS,2,25,0.1,5,3,0.6704843480193244
n_check,USPS,2,25,0.1,6,3,0.6703628992514993
